交易日期,開盤,最高,最低,收盤,漲跌,漲跌(%),振幅(%),成交資料(張數),成交資料(筆數),成交資料(均張),成交資料(億元),法人買賣超(張)(外資),法人買賣超(張)(投信),法人買賣超(張)(自營),法人買賣超(張)(合計),外資持股(%),融資(張)(增減),融資(張)(餘額),融券(張)(增減),融券(張)(餘額),券資比(%)
'24/07/19,58.1,58.2,57.4,57.6,-0.8,-1.37,1.37,"1,146","3,987",0.29,0.66,-552,+8,+73,-471,10.6,+34,991,0,1,0.1
'24/07/18,58,58.6,57.6,58.4,+0.4,+0.69,1.72,"2,137","1,318",1.62,1.25,+452,+10,+31.1,+493,10.6,+13,957,0,1,0.1
'24/07/17,58.4,58.5,58,58,-0.3,-0.51,0.86,"1,543","1,735",0.89,0.9,-912,+7,+67,-838,10.6,+213,944,0,1,0.11
'24/07/16,58,58.4,57.9,58.3,+0.3,+0.52,0.86,"1,231","1,108",1.11,0.72,+104,+50,+38,+192,10.7,-14,731,+1,1,0.14
'24/07/15,57.7,58.2,57.6,58,+0.4,+0.69,1.04,"1,566","1,224",1.28,0.91,+678,0,+99,+777,10.7,+12,745,0,0,0
'24/07/12,57.5,57.7,57.3,57.6,+0.3,+0.52,0.7,864,686,1.26,0.5,+135,0,+22.3,+157,10.6,0,733,0,0,0
'24/07/11,57.1,57.8,57,57.3,+0.2,+0.35,1.4,"1,201","1,163",1.03,0.69,-86,0,+20,-66,10.6,-42,733,0,0,0
'24/07/10,57.3,57.6,57.1,57.1,-0.2,-0.35,0.87,863,"1,906",0.45,0.49,-59,+11,+96,+48,10.6,-7,775,0,0,0
'24/07/09,57.8,57.9,57.2,57.3,-0.7,-1.21,1.21,983,"2,590",0.38,0.56,-507,+12,+88.6,-406,10.6,+20,782,0,0,0
'24/07/08,57.8,58,57.6,58,+0.3,+0.52,0.69,"1,400","1,185",1.18,0.81,+480,+7,+130,+617,10.7,-127,764,0,0,0
'24/07/05,57.8,57.9,57.6,57.7,0,0,0.52,"1,227","1,137",1.08,0.71,-133,+7,+13,-113,10.6,-5,889,0,0,0
'24/07/04,57,57.8,57,57.7,+0.7,+1.23,1.4,"2,197","1,488",1.48,1.26,+210,+1,-8,+203,10.6,-119,894,0,0,0
'24/07/03,56.8,57.1,56.7,57,+0.3,+0.53,0.71,"1,189",941,1.26,0.68,+97,-125,+18,-10,10.6,-33,"1,013",0,0,0
'24/07/02,57,57.1,56.7,56.7,-0.4,-0.7,0.7,"1,403",968,1.45,0.8,-544,+1,+24.9,-518,10.6,-6,"1,046",-2,0,0
'24/07/01,57.2,57.2,56.9,57.1,-0.1,-0.17,0.52,"1,143","1,589",0.72,0.65,-424,+4,+65,-354,10.6,+12,"1,052",0,2,0.19
'24/06/28,56.9,57.3,56.8,57.2,+0.3,+0.53,0.88,"1,182","1,020",1.16,0.68,+9.68,+6,+69,+84.7,10.7,-3,"1,040",0,2,0.19
'24/06/27,56.7,57.1,56.5,56.9,+0.2,+0.35,1.06,"1,284","1,191",1.08,0.73,-363,+2,+153,-208,10.7,-3,"1,043",0,2,0.19
'24/06/26,57,57.4,56.6,56.7,-0.3,-0.53,1.4,"1,350","1,043",1.29,0.77,-55,0,+79.4,+24.4,10.7,+4,"1,046",0,2,0.19
'24/06/25,56.7,57,56.6,57,+0.4,+0.71,0.71,732,756,0.97,0.42,+20,+3,+40,+63,10.7,+1,"1,042",0,2,0.19
'24/06/24,56.7,56.7,56.5,56.6,-0.1,-0.18,0.35,886,995,0.89,0.5,-267,+4,+31.3,-232,10.7,+2,"1,041",0,2,0.19
'24/06/21,57,57,56.7,56.7,-0.3,-0.53,0.53,"2,912","1,232",2.36,1.65,-779,-4,+47,-736,10.8,+20,"1,039",0,2,0.19
'24/06/20,57.2,57.2,56.8,57,0,0,0.7,"1,483","1,153",1.29,0.84,-219,+31,+125,-63,10.9,+144,"1,019",0,2,0.2
'24/06/19,57.2,57.3,56.8,57,-0.2,-0.35,0.87,"1,440","1,513",0.95,0.82,-536,0,+30.6,-505,10.9,0,875,0,2,0.23
'24/06/18,57.3,57.4,57.1,57.2,-0.1,-0.17,0.52,810,"1,354",0.6,0.46,+159,+5,+34,+198,11,+3,875,0,2,0.23
'24/06/17,57,57.3,56.9,57.3,+0.3,+0.53,0.7,"1,174","1,482",0.79,0.67,+471,0,+33.6,+505,11,-5,872,0,2,0.23
'24/06/14,56.9,57.2,56.7,57,+0.1,+0.18,0.88,944,841,1.12,0.54,+213,0,+21.4,+234,11,-24,877,-1,2,0.23
'24/06/13,56.9,56.9,56.7,56.9,0,0,0.35,"1,118","1,049",1.07,0.64,+43.6,+1,-22,+22.6,10.9,-4,901,0,3,0.33
'24/06/12,57,57.2,56.7,56.9,-0.1,-0.18,0.88,"1,305","1,139",1.15,0.74,-35.3,0,+30,-5.34,10.9,-7,905,+1,3,0.33
'24/06/11,57.1,57.2,57,57,-0.1,-0.18,0.35,"1,393","1,056",1.32,0.8,+81,0,-65,+16,10.9,+2,912,0,2,0.22
'24/06/07,57,57.3,57,57.1,-0.1,-0.17,0.52,"1,057",991,1.07,0.6,-60.2,0,-7.35,-67.6,10.9,-19,910,0,2,0.22
'24/06/06,57.3,57.4,56.9,57.2,-0.1,-0.17,0.87,"1,034",983,1.05,0.59,-48,+4,-21,-65,10.9,-16,929,0,2,0.22
'24/06/05,57.2,57.5,57,57.3,+0.1,+0.17,0.87,"1,196","1,049",1.14,0.68,+117,0,-11.2,+106,10.9,-58,945,0,2,0.21
'24/06/04,56.8,57.2,56.8,57.2,+0.5,+0.88,0.71,"1,490","1,267",1.18,0.85,+143,-149,-0.66,-6.77,10.9,-108,"1,003",0,2,0.2
'24/06/03,57.2,57.2,56.7,56.7,-0.6,-1.05,0.87,"1,381","1,326",1.04,0.79,-805,0,+33.2,-772,10.9,+28,"1,111",0,2,0.18
'24/05/31,56.5,57.3,56.5,57.3,+0.8,+1.42,1.42,"1,604","1,116",1.44,0.91,+115,+4,-26.2,+92.4,11,+4,"1,083",0,2,0.18
'24/05/30,56.7,56.8,56.5,56.5,-0.2,-0.35,0.53,"1,235","1,140",1.08,0.7,-752,0,+20.2,-732,11,-6,"1,079",0,2,0.19
'24/05/29,56.3,56.7,56,56.7,+0.4,+0.71,1.24,"2,282","1,911",1.19,1.29,-486,-130,+18.2,-598,11,-9,"1,085",0,2,0.18
'24/05/28,56.8,57,56.3,56.3,-0.5,-0.88,1.23,"2,550","2,350",1.09,1.44,-465,-324,+13.9,-775,11.1,-7,"1,094",-3,2,0.18
'24/05/27,57,57.1,56.7,56.8,-0.3,-0.53,0.7,"1,676","1,611",1.04,0.95,-881,-60,+13.8,-928,11.1,+100,"1,101",0,5,0.45
'24/05/24,57.1,57.4,56.7,57.1,-0.1,-0.17,1.22,856,797,1.07,0.49,-354,0,+1.62,-352,11.2,0,"1,001",0,5,0.5
'24/05/23,57.8,58,57.2,57.2,-0.8,-1.38,1.38,"1,699","2,587",0.66,0.98,-960,-1,+151,-810,11.2,-89,"1,001",+2,5,0.5
'24/05/22,58.1,58.4,57.8,58,-0.1,-0.17,1.03,"1,267","2,172",0.58,0.74,-332,0,+138,-194,11.4,-1,"1,090",0,3,0.28
'24/05/21,58.4,58.5,57.8,58.1,-0.3,-0.51,1.2,"1,186","1,419",0.84,0.69,-498,0,+99.6,-398,11.4,+1,"1,091",-2,3,0.27
'24/05/20,59,59,58.3,58.4,+0.3,+0.52,1.2,"2,767","1,859",1.49,1.62,-564,0,+131,-433,11.4,-29,"1,090",+2,5,0.46
'24/05/17,58.1,58.1,57.7,58.1,+0.5,+0.87,0.69,833,697,1.2,0.48,+56,0,+32,+88,11.5,+27,"1,119",-4,3,0.27
'24/05/16,58.5,58.5,57.6,57.6,-0.6,-1.03,1.55,"1,829","4,343",0.42,1.06,-723,0,+22,-701,11.5,-6,"1,092",0,7,0.64
'24/05/15,58.5,58.5,58,58.2,+0.1,+0.17,0.86,"1,323","1,813",0.73,0.77,-409,0,+38,-371,11.6,-48,"1,098",0,7,0.64
'24/05/14,58.3,58.7,58,58.1,0,0,1.2,"1,328",910,1.46,0.77,-1,0,-34.9,-35.9,11.6,+59,"1,146",0,7,0.61
'24/05/13,57.7,58.4,57.6,58.1,+0.5,+0.87,1.39,"1,857","1,479",1.26,1.08,"+1,012",+3,-327,+688,11.6,-1,"1,087",+4,7,0.64
'24/05/10,58.1,58.5,57.6,57.6,-0.5,-0.86,1.55,"1,543","2,857",0.54,0.9,-445,0,+7,-438,11.5,+24,"1,088",0,3,0.28
'24/05/09,58.3,58.4,58.1,58.1,0,0,0.52,"1,308","1,014",1.29,0.76,+69,-51,+5.89,+23.9,11.5,+33,"1,064",0,3,0.28
'24/05/08,57.5,58.3,57.4,58.1,+0.6,+1.04,1.57,"2,103","1,255",1.68,1.22,+799,0,-270,+529,11.5,-302,"1,031",-1,3,0.29
'24/05/07,57.5,57.7,57.1,57.5,+0.1,+0.17,1.05,"1,632","1,304",1.25,0.94,-320,0,+9,-310,11.5,-253,"1,333",0,4,0.3
'24/05/06,57.2,57.6,57.1,57.4,+0.4,+0.7,0.88,995,928,1.07,0.57,+258,0,-71.9,+186,11.5,-31,"1,586",0,4,0.25
'24/05/03,57.6,57.6,57,57,-0.4,-0.7,1.05,998,748,1.33,0.57,-293,0,-59.9,-353,11.5,-27,"1,617",0,4,0.25
'24/05/02,57.2,57.5,57,57.4,+0.2,+0.35,0.87,876,991,0.88,0.5,+104,0,+28,+132,11.5,-7,"1,644",0,4,0.24
'24/04/30,57.3,57.9,57.2,57.2,-0.3,-0.52,1.22,"1,544","1,604",0.96,0.89,-19,0,-5.88,-24.9,11.5,-144,"1,651",0,4,0.24
'24/04/29,57.1,57.5,57.1,57.5,+0.5,+0.88,0.7,"1,547","1,183",1.31,0.89,+343,0,+5,+348,11.5,-173,"1,795",0,4,0.22
'24/04/26,57,57.2,56.6,57,-0.4,-0.7,1.05,"1,485","2,653",0.56,0.85,-464,+1,+11.9,-451,11.4,-2,"1,968",0,4,0.2
'24/04/25,57,57.4,56.6,57.4,+0.4,+0.7,1.4,"1,201","1,373",0.87,0.69,+487,+15,+7,+509,11.5,0,"1,970",0,4,0.2
'24/04/24,57.5,57.5,56.9,57,-0.4,-0.7,1.05,"4,288","4,390",0.98,2.45,"+2,534","-1,954",+52.8,+633,11.5,-16,"1,970",0,4,0.2
'24/04/23,56.6,57.4,56.4,57.4,+1,+1.77,1.77,"4,134","2,856",1.45,2.36,"+2,871","-2,019",+42.7,+895,11.2,-93,"1,986",+1,4,0.2
'24/04/22,56.2,56.9,55.9,56.4,+0.9,+1.62,1.8,"4,127","3,031",1.36,2.33,"+2,719","-2,070",+97.2,+746,10.9,-179,"2,079",+1,3,0.14
'24/04/19,55.7,56.3,54.7,55.5,-0.2,-0.36,2.87,"5,272","3,684",1.43,2.93,"+1,997","-2,144",+296,+149,10.6,+59,"2,258",-2,2,0.09
'24/04/18,55.6,56.2,55.3,55.7,+0.1,+0.18,1.62,"3,214","1,927",1.67,1.79,"+1,631","-2,137",-43.5,-549,10.3,+32,"2,199",-13,4,0.18
'24/04/17,55.5,56.2,55.4,55.6,+0.4,+0.72,1.45,"1,947","1,555",1.25,1.09,+439,-270,-290,-122,10.2,-109,"2,167",0,17,0.78
'24/04/16,56.1,56.2,55.1,55.2,-1.1,-1.95,1.95,"3,429","3,034",1.13,1.9,"-1,558",-5,-165,"-1,728",10.1,+82,"2,276",+7,17,0.75
'24/04/15,56.9,56.9,56.2,56.3,-0.9,-1.57,1.22,"3,744","2,977",1.26,2.11,"-1,740",-49,-205,"-1,994",10.3,-16,"2,194",0,10,0.46
'24/04/12,57.3,57.5,57.1,57.2,-0.2,-0.35,0.7,"1,732","1,183",1.46,0.99,-970,-15,-33.1,"-1,018",10.5,+242,"2,210",+10,10,0.45
'24/04/11,57.8,57.8,57.1,57.4,-0.6,-1.03,1.21,"2,147","4,227",0.51,1.23,"-1,138",0,-5.83,"-1,144",10.6,+168,"1,968",0,0,0
'24/04/10,58.1,58.3,57.8,58,0,0,0.86,"1,659","1,694",0.98,0.96,-310,-38,-21.3,-369,10.7,+35,"1,800",0,0,0
'24/04/09,58,58.2,57.7,58,0,0,0.86,"1,568","1,129",1.39,0.91,-595,-158,-48.1,-801,10.8,-17,"1,765",0,0,0
'24/04/08,57.4,58.1,57.4,58,+0.4,+0.69,1.22,"1,095","1,314",0.83,0.63,-65.5,-15,-20.7,-101,10.8,-9,"1,782",0,0,0
'24/04/03,57.6,57.8,57.3,57.6,-0.2,-0.35,0.87,"1,438","1,258",1.14,0.83,-294,-11,+2.8,-302,10.8,-1,"1,791",0,0,0
'24/04/02,58.1,58.2,57.6,57.8,-0.4,-0.69,1.03,"1,395","1,317",1.06,0.81,-345,-47,-40.9,-433,10.9,-40,"1,792",0,0,0
'24/04/01,57.8,58.4,57.8,58.2,+0.5,+0.87,1.04,"1,126","1,332",0.85,0.65,+483,-29,+16,+470,10.9,-53,"1,832",0,0,0
'24/03/29,57.8,58,57.5,57.7,0,0,0.87,"1,490","2,110",0.71,0.86,-323,-140,-39,-502,10.9,-25,"1,885",0,0,0
'24/03/28,57.8,58.2,57.6,57.7,-0.1,-0.17,1.04,"1,257","1,207",1.04,0.73,-203,-75,-20,-298,10.9,-3,"1,910",-4,0,0
